row_id,COMP ID,name,InChIKey,SMILES,SMILES_pH7,MW,C,logP,logS,HBI,NCA,NPSA,C_Label,food,phylum,class,order,family,genus,F_Label,MS_peak
FM1,53,glutamine,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C(CC(=O)N)[C@@H](C(=O)O)N,C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+],146.14,5,-3.32,-0.17,0.7,0.4,0.247570179,146.145-3.32-0.170.70.40.247570179,garlic,Magnoliophyta,Eudicotyledons,Asparagales,Amaryllidaceae,Allium,EudicotyledonsAsparagalesAmaryllidaceaeAllium,"567,351,957"
FM2,512,asparagine,DCXYFEDJOCDNAF-REOHCLBHSA-N,C([C@@H](C(=O)O)N)C(=O)N,C([C@@H](C(=O)[O-])[NH3+])C(=O)N,132.12,4,-3.36,0.1,0.875,0.4,0.199757024,132.124-3.360.10.8750.40.199757024,garlic,Magnoliophyta,Eudicotyledons,Asparagales,Amaryllidaceae,Allium,EudicotyledonsAsparagalesAmaryllidaceaeAllium,"182,528,544"
FM3,1303,malic acid,BJEPYKJPYRNKOW-UHFFFAOYSA-N,C(C(C(=O)O)O)C(=O)O,C(C(C(=O)[O-])O)C(=O)[O-],134.09,4,-0.87,0.21,1.333333333,0.4,0.218211869,134.094-0.870.211.3333333330.40.218211869,apple,Magnoliophyta,Eudicotyledons,Rosales,Rosaceae,Malus,EudicotyledonsRosalesRosaceaeMalus,"14,190,107,648"
FM4,1643,fumaric acid,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C(=C/C(=O)O)\C(=O)O,C(=C\C(=O)[O-])/C(=O)[O-],116.07,4,0.21,-0.68,1.5,0.5,0.241113608,116.0740.21-0.681.50.50.241113608,garlic,Magnoliophyta,Eudicotyledons,Asparagales,Amaryllidaceae,Allium,EudicotyledonsAsparagalesAmaryllidaceaeAllium,"5,445,225"
FM5,21177,caffeic acid,QAIPRVGONGVQAS-RQOWECAXSA-N,C1=CC(=C(C=C1/C=C\C(=O)O)O)O,c1cc(c(cc1/C=C\C(=O)[O-])O)O,180.16,9,1.67,-2.05,0.875,0.25,0.454288098,180.1691.67-2.050.8750.250.454288098,apple,Magnoliophyta,Eudicotyledons,Rosales,Rosaceae,Malus,EudicotyledonsRosalesRosaceaeMalus,"145,941"
FM6,21177,caffeic acid,QAIPRVGONGVQAS-RQOWECAXSA-N,C1=CC(=C(C=C1/C=C\C(=O)O)O)O,c1cc(c(cc1/C=C\C(=O)[O-])O)O,180.16,9,1.67,-2.05,0.875,0.25,0.454288098,180.1691.67-2.050.8750.250.454288098,garlic,Magnoliophyta,Eudicotyledons,Asparagales,Amaryllidaceae,Allium,EudicotyledonsAsparagalesAmaryllidaceaeAllium,"1,146,947"
FM7,21177,caffeic acid,QAIPRVGONGVQAS-RQOWECAXSA-N,C1=CC(=C(C=C1/C=C\C(=O)O)O)O,c1cc(c(cc1/C=C\C(=O)[O-])O)O,180.16,9,1.67,-2.05,0.875,0.25,0.454288098,180.1691.67-2.050.8750.250.454288098,basil,Magnoliophyta,Eudicotyledons,Lamiales,Lamiaceae,Ocimum,EudicotyledonsLamialesLamiaceaeOcimum,"20,550,928"
FM8,22012,1-kestose,VAWYEUIPHLMNNF-CMCDSJAFSA-N,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H](C([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]1([C@H](C([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO)O)O)O)O,504.4,18,-3.2,0.16,0.84375,0,0.348710356,504.418-3.20.160.8437500.348710356,apple,Magnoliophyta,Eudicotyledons,Rosales,Rosaceae,Malus,EudicotyledonsRosalesRosaceaeMalus,"16,421,488"
FM9,35630,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,COc1c(ccc(c1)/C=C/C(=O)[O-])O,194.18,10,1.58,-2.33,0.6,0.25,0.572456174,194.18101.58-2.330.60.250.572456174,garlic,Magnoliophyta,Eudicotyledons,Asparagales,Amaryllidaceae,Allium,EudicotyledonsAsparagalesAmaryllidaceaeAllium,"113,868"
FM10,35630,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,COc1c(ccc(c1)/C=C/C(=O)[O-])O,194.18,10,1.58,-2.33,0.6,0.25,0.572456174,194.18101.58-2.330.60.250.572456174,basil,Magnoliophyta,Eudicotyledons,Lamiales,Lamiaceae,Ocimum,EudicotyledonsLamialesLamiaceaeOcimum,"718,740"
FM11,35639,vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(=O)O)O,COc1c(ccc(c1)C(=O)[O-])O,168.15,8,1.7,-1.47,0.75,0.25,0.524004751,168.1581.7-1.470.750.250.524004751,basil,Magnoliophyta,Eudicotyledons,Lamiales,Lamiaceae,Ocimum,EudicotyledonsLamialesLamiaceaeOcimum,"79,861"
FM12,39592,S-methylcysteine,IDIDJDIHTAOVLG-VKHMYHEASA-N,CSC[C@@H](C(=O)O)N,CSC[C@@H](C(=O)[O-])[NH3+],135.19,4,-2.21,-0.31,0.666666667,0.666666667,0.442784012,135.194-2.21-0.310.6666666670.6666666670.442784012,garlic,Magnoliophyta,Eudicotyledons,Asparagales,Amaryllidaceae,Allium,EudicotyledonsAsparagalesAmaryllidaceaeAllium,"6,317,785"
FM13,43239,S-allylcysteine,ZFAHNWWNDFHPOH-UHFFFAOYSA-N,C=CCSCC(C(=O)O)N,C=CCSCC(C(=O)[O-])[NH3+],161.22,6,-1.81,-1.07,0.545454545,0.666666667,0.541303609,161.226-1.81-1.070.5454545450.6666666670.541303609,garlic,Magnoliophyta,Eudicotyledons,Asparagales,Amaryllidaceae,Allium,EudicotyledonsAsparagalesAmaryllidaceaeAllium,"39,112,567"
