row_id,COMP ID,name,InChIKey,SMILES,SMILES_pH7,MW,C,logP,logS,HBI,NCA,NPSA,C_Label,food_name,phylum,class,order,family,genus,F_Label,MS_peak
MBN322,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Apple,Magnoliophyta,Eudicotyledons,Rosales,Rosaceae,Malus,EudicotyledonsRosalesRosaceaeMalus,0
MBN787,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Banana,Magnoliophyta,Liliopsida,Zingiberales,Musaceae,Musa,LiliopsidaZingiberalesMusaceaeMusa,452367
MBN1252,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Basil,Magnoliophyta,Eudicotyledons,Lamiales,Lamiaceae,Ocimum,EudicotyledonsLamialesLamiaceaeOcimum,613008.3333
MBN1717,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Black bean,Magnoliophyta,Eudicotyledons,Fabales,Fabaceae,Phaseolus,EudicotyledonsFabalesFabaceaePhaseolus,0
MBN2182,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Carrot,Magnoliophyta,Eudicotyledons,Apiales,Apiaceae,Daucus,EudicotyledonsApialesApiaceaeDaucus,0
MBN2647,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Chickpeas,Magnoliophyta,Eudicotyledons,Fabales,Fabaceae,Cicer,EudicotyledonsFabalesFabaceaeCicer,0
MBN3112,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Corn,Magnoliophyta,Liliopsida,Poales,Poaceae,Zea,LiliopsidaPoalesPoaceaeZea,505947
MBN3577,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Garlic,Magnoliophyta,Eudicotyledons,Asparagales,Amaryllidaceae,Allium,EudicotyledonsAsparagalesAmaryllidaceaeAllium,0
MBN4042,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Lettuce,Magnoliophyta,Eudicotyledons,Asterales,Asteraceae,Lactuca,EudicotyledonsAsteralesAsteraceaeLactuca,717840.3333
MBN4507,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Olives,Magnoliophyta,Eudicotyledons,Lamiales,Oleaceae,Olea,EudicotyledonsLamialesOleaceaeOlea,0
MBN4972,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Onion,Magnoliophyta,Eudicotyledons,Asparagales,Amaryllidaceae,Allium,EudicotyledonsAsparagalesAmaryllidaceaeAllium,0
MBN5437,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Peach,Magnoliophyta,Eudicotyledons,Rosales,Rosaceae,Prunus,EudicotyledonsRosalesRosaceaePrunus,0
MBN5902,15696,homoserine lactone,QJPWUUJVYOJNMH-VKHMYHEASA-N,C1COC(=O)[C@H]1N,C1COC(=O)[C@H]1[NH3+],101.1,4,-1.39,0.84,0.571428571,0.333333333,0.478758188,101.14-1.390.840.5714285710.3333333330.478758188,Pear,Magnoliophyta,Eudicotyledons,Rosales,Rosaceae,Pyrus,EudicotyledonsRosalesRosaceaePyrus,0
