comp_name,food_name,FF_food_no,FF_nutr_no,min,max,ave,unit,der_id,der,dps
Sucrose,Apple,171688,1010,0.78,3.53,2.07,G,1,Analytical,25
Glucose (dextrose),Apple,171688,1011,1.45,3.66,2.43,G,1,Analytical,25
Fructose,Apple,171688,1012,4.63,6.63,5.9,G,1,Analytical,25
Vitamin E (alpha-tocopherol),Apple,171688,1109,0.08,0.38,0.18,MG,1,Analytical,10
"Cryptoxanthin, beta",Apple,171688,1120,0,16,11,UG,1,Analytical,14
Thiamin,Apple,171688,1165,0.007,0.03,0.017,MG,1,Analytical,23
Niacin,Apple,171688,1167,0.07,0.13,0.091,MG,1,Analytical,13
Vitamin B-6,Apple,171688,1175,0.028,0.056,0.041,MG,1,Analytical,23
Betaine,Apple,171688,1198,0,0,0.1,MG,1,Analytical,1
Tryptophan,Apple,171688,1210,0,0,0.001,G,1,Analytical,0
Threonine,Apple,171688,1211,0,0,0.006,G,1,Analytical,0
Isoleucine,Apple,171688,1212,0,0,0.006,G,1,Analytical,0
Leucine,Apple,171688,1213,0,0,0.013,G,1,Analytical,0
Lysine,Apple,171688,1214,0,0,0.012,G,1,Analytical,0
Methionine,Apple,171688,1215,0,0,0.001,G,1,Analytical,0
Cystine,Apple,171688,1216,0,0,0.001,G,1,Analytical,0
Phenylalanine,Apple,171688,1217,0,0,0.006,G,1,Analytical,0
Tyrosine,Apple,171688,1218,0,0,0.001,G,1,Analytical,0
Valine,Apple,171688,1219,0,0,0.012,G,1,Analytical,0
Arginine,Apple,171688,1220,0,0,0.006,G,1,Analytical,0
Histidine,Apple,171688,1221,0,0,0.005,G,1,Analytical,0
Alanine,Apple,171688,1222,0,0,0.011,G,1,Analytical,0
Aspartic acid,Apple,171688,1223,0,0,0.07,G,1,Analytical,0
Glutamic acid,Apple,171688,1224,0,0,0.025,G,1,Analytical,0
Glycine,Apple,171688,1225,0,0,0.009,G,1,Analytical,0
Proline,Apple,171688,1226,0,0,0.006,G,1,Analytical,0
Serine,Apple,171688,1227,0,0,0.01,G,1,Analytical,0
"Choline, total",Apple,171688,1180,0,0,3.4,MG,SR,Analytical or derived from analytical,0
"Tocotrienol, alpha",Apple,171688,1128,,,,MG,,,
(-)-Epicatechin,Apple,171688,,,,,,,,
(+)-Catechin,Apple,171688,,,,,,,,
Sucrose,Banana,173944,1010,0.45,4.12,2.39,G,1,Analytical,8
Glucose (dextrose),Banana,173944,1011,1.79,8.13,4.98,G,1,Analytical,8
Fructose,Banana,173944,1012,2.34,7.52,4.85,G,1,Analytical,8
Vitamin E (alpha-tocopherol),Banana,173944,1109,0.03,0.37,0.1,MG,1,Analytical,15
"Cryptoxanthin, beta",Banana,173944,1120,0,0,0,UG,1,Analytical,6
"Tocotrienol, alpha",Banana,173944,1128,0,0.09,0.06,MG,1,Analytical,9
Thiamin,Banana,173944,1165,0.01,0.051,0.031,MG,1,Analytical,12
Niacin,Banana,173944,1167,0.544,0.749,0.665,MG,1,Analytical,12
Vitamin B-6,Banana,173944,1175,0.302,0.42,0.367,MG,1,Analytical,12
Betaine,Banana,173944,1198,0,0,0.1,MG,1,Analytical,1
Tryptophan,Banana,173944,1210,0,0,0.009,G,1,Analytical,0
Threonine,Banana,173944,1211,0,0,0.028,G,1,Analytical,0
Isoleucine,Banana,173944,1212,0,0,0.028,G,1,Analytical,0
Leucine,Banana,173944,1213,0,0,0.068,G,1,Analytical,0
Lysine,Banana,173944,1214,0,0,0.05,G,1,Analytical,0
Methionine,Banana,173944,1215,0,0,0.008,G,1,Analytical,0
Cystine,Banana,173944,1216,0,0,0.009,G,1,Analytical,0
Phenylalanine,Banana,173944,1217,0,0,0.049,G,1,Analytical,0
Tyrosine,Banana,173944,1218,0,0,0.009,G,1,Analytical,0
Valine,Banana,173944,1219,0,0,0.047,G,1,Analytical,0
Arginine,Banana,173944,1220,0,0,0.049,G,1,Analytical,0
Histidine,Banana,173944,1221,0,0,0.077,G,1,Analytical,0
Alanine,Banana,173944,1222,0,0,0.04,G,1,Analytical,0
Aspartic acid,Banana,173944,1223,0,0,0.124,G,1,Analytical,0
Glutamic acid,Banana,173944,1224,0,0,0.152,G,1,Analytical,0
Glycine,Banana,173944,1225,0,0,0.038,G,1,Analytical,0
Proline,Banana,173944,1226,0,0,0.028,G,1,Analytical,0
Serine,Banana,173944,1227,0,0,0.04,G,1,Analytical,0
"Choline, total",Banana,173944,1180,0,0,9.8,MG,SR,Analytical or derived from analytical,0
(-)-Epicatechin,Banana,173944,,,,,,,,
(+)-Catechin,Banana,173944,,,,,,,,
Sucrose,Basil,172232,1010,0,0,0,G,1,Analytical,1
Glucose (dextrose),Basil,172232,1011,0,0,0.02,G,1,Analytical,1
Fructose,Basil,172232,1012,0,0,0.02,G,1,Analytical,1
Vitamin E (alpha-tocopherol),Basil,172232,1109,0,0,0.8,MG,1,Analytical,1
"Cryptoxanthin, beta",Basil,172232,1120,3,89,46,UG,1,Analytical,7
"Tocotrienol, alpha",Basil,172232,1128,0,0,0,MG,1,Analytical,1
Thiamin,Basil,172232,1165,0.008,0.045,0.034,MG,1,Analytical,3
Niacin,Basil,172232,1167,0.79,1.06,0.902,MG,1,Analytical,3
Vitamin B-6,Basil,172232,1175,0.129,0.181,0.155,MG,1,Analytical,3
Betaine,Basil,172232,1198,0,0,0.4,MG,1,Analytical,1
"Choline, total",Basil,172232,1180,0,0,11.4,MG,SR,Analytical or derived from analytical,0
Tryptophan,Basil,172232,1210,0,0,0.039,G,SR,Analytical or derived from analytical,0
Threonine,Basil,172232,1211,0,0,0.104,G,SR,Analytical or derived from analytical,0
Isoleucine,Basil,172232,1212,0,0,0.104,G,SR,Analytical or derived from analytical,0
Leucine,Basil,172232,1213,0,0,0.191,G,SR,Analytical or derived from analytical,0
Lysine,Basil,172232,1214,0,0,0.11,G,SR,Analytical or derived from analytical,0
Methionine,Basil,172232,1215,0,0,0.036,G,SR,Analytical or derived from analytical,0
Cystine,Basil,172232,1216,0,0,0.028,G,SR,Analytical or derived from analytical,0
Phenylalanine,Basil,172232,1217,0,0,0.13,G,SR,Analytical or derived from analytical,0
Tyrosine,Basil,172232,1218,0,0,0.077,G,SR,Analytical or derived from analytical,0
Valine,Basil,172232,1219,0,0,0.127,G,SR,Analytical or derived from analytical,0
Arginine,Basil,172232,1220,0,0,0.117,G,SR,Analytical or derived from analytical,0
Histidine,Basil,172232,1221,0,0,0.051,G,SR,Analytical or derived from analytical,0
Alanine,Basil,172232,1222,0,0,0.132,G,SR,Analytical or derived from analytical,0
Aspartic acid,Basil,172232,1223,0,0,0.301,G,SR,Analytical or derived from analytical,0
Glutamic acid,Basil,172232,1224,0,0,0.277,G,SR,Analytical or derived from analytical,0
Glycine,Basil,172232,1225,0,0,0.122,G,SR,Analytical or derived from analytical,0
