,,comp_name,"Cryptoxanthin, beta",Sucrose,Glucose (dextrose),Fructose,Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,4:0,6:0,8:0,"20:2 n-6 c,c","18:2 n-6 c,c","18:3 n-3 c,c,c (ALA)",Vitamin E (alpha-tocopherol),"Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, gamma",Thiamin,Niacin,Vitamin B-6,"Choline, total",Betaine,Stigmasterol,Beta-sitosterol,Daidzein,Genistein,Glycitein,(+)-Catechin,(-)-Epicatechin,Apigenin,Luteolin
,,nutr_no,334,210,211,212,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,521,607,608,609,672,675,851,323,343,344,346,404,406,415,421,454,638,641,710,711,712,749,751,770,773
food_name,food_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agave, raw (Southwest)",American Indian/Alaska Native Foods,,0,0.41,1.19,0.98,0.008,0.014,0.014,0.025,0.028,0.009,0.008,0.019,0.009,0.022,0.106,0.008,0.024,0.041,0.052,0.019,0.013,0.021,0,0,0,0,0,0,0,0.00023,0,0,0,2.90E-05,0.000162,5.50E-05,0,0,0,0,0,0,0,0,0,0,0
"Cockles, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0.0032,0,0,0,0,0,0,0,0,0,0,0,0
"Mashu roots, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0013,0,0,0,0,0,0,0,0,0,0,0,0
"Cloudberries, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0.0009,0,0,0,0,0,0,0,0,0,0,0,0
"Salmonberries, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0.02,1.9,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161,9.00E-05,0,0,4.10E-05,0.000466,7.80E-05,0,0,0,0,0,0,0,0,0,0,0
"Chokecherries, raw, pitted (Shoshone Bannock)",American Indian/Alaska Native Foods,,0,0,8.85,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,7.00E-05,7.00E-05,0,2.90E-05,0.000672,0.000193,0,0,0,0,0,0,0,0,0,0,0
"Chokecherries, raw, pitted (Northern Plains Indians)",American Indian/Alaska Native Foods,,1.90E-05,0.07,4.95,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,9.00E-05,1.00E-05,0,3.40E-05,0.000628,0.000198,0.0107,0.0004,0,0,0,0,0,0,0,0,0
"Prickly pears, raw (Northern Plains Indians)",American Indian/Alaska Native Foods,,0,0.38,0.44,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-06,0.000293,7.90E-05,0.0043,0.0003,0,0,0,0,0,0,0,0,0
"Huckleberries, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0.0003,0,0,0,0,0,0,0,0,0,0,0,0
"Squash, Indian, raw (Navajo)",American Indian/Alaska Native Foods,,0,0.77,1.21,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0.00017,5.80E-05,0,0,0,0,0,0,0,0,0,0,0
"Prairie Turnips, raw (Northern Plains Indians)",American Indian/Alaska Native Foods,,0,0.16,0.42,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178,0.001071,0.00047,0.0048,0.0001,0,0,0,0,0,0,0,0,0
"Blueberries, wild, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0.01,3.1,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169,1.00E-05,4.00E-05,0.00046,6.70E-05,0.000597,2.60E-05,0,0,0,0,0,0,0,0,0,0,0
"Blackberries, wild, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0.01,1.69,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00091,2.00E-05,2.00E-05,8.00E-05,6.00E-05,0.000314,3.90E-05,0,0,0,0,0,0,0,0,0,0,0
"Fireweed, young leaves, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-05,0.0014,0,0,0,0,0,0,0,0,0,0,0,0
"Cranberries, wild, bush, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0
"Cranberry, low bush or lingenberry, raw (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0.0004,0,0,0,0,0,0,0,0,0,0,0,0
"Cattail, Narrow Leaf Shoots (Northern Plains Indians)",American Indian/Alaska Native Foods,,0,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E-05,0.00044,0.000123,0.0237,0.0011,0,0,0,0,0,0,0,0,0
"Raspberries, wild (Northern Plains Indians)",American Indian/Alaska Native Foods,,3.10E-05,0.07,2.43,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057,0.0024,0,0,1.80E-05,0.00103,0.000104,0.0095,0.0005,0,0,0,0,0,0,0,0,0
"Rose Hips, wild (Northern Plains Indians)",American Indian/Alaska Native Foods,,0.000483,0.07,1.34,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584,0.00014,1.00E-05,7.00E-05,1.60E-05,0.0013,7.60E-05,0.012,0.0029,0,0,0,0,0,0,0,0,0
"Plums, wild (Northern Plains Indians)",American Indian/Alaska Native Foods,,0.000157,0.07,5.07,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053,5.00E-05,0,0,5.00E-06,0.000367,9.30E-05,0.0052,0.0002,0,0,0,0,0,0,0,0,0
"Melon, banana (Navajo)",American Indian/Alaska Native Foods,,0,0,1.3,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0.00046,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
"Chiton, leathery, gumboots (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0.0042,0,0,0,0,0,0,0,0,0,0,0,0
"Rhubarb, wild, leaves (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
"Sea cucumber, yane (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0.0032,0,0,0,0,0,0,0,0,0,0,0,0
"Sourdock, young leaves (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00E-05,0.0011,0,0,0,0,0,0,0,0,0,0,0,0
"Hazelnuts, beaked (Northern Plains Indians)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048,0.00319,0.00055,0,0,0,0,0,0,0,0,0,0,0
"Willow, young leaves, chopped (Alaska Native)",American Indian/Alaska Native Foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,0,0,0,0,0
"Semolina, unenriched",Cereal Grains and Pasta,,0,0,0,0,0.162,0.335,0.49,0.867,0.243,0.198,0.358,0.616,0.333,0.54,0.467,0.257,0.372,0.518,4.571,0.401,1.395,0.598,0,0,0,0,0,0,0,0,0,0,0,0.00028,0.00331,0.000103,0,0,0,0,0,0,0,0,0,0,0
"Rice, white, glutinous, unenriched, uncooked",Cereal Grains and Pasta,,0,0,0,0,0.079,0.244,0.294,0.563,0.246,0.16,0.14,0.364,0.228,0.416,0.568,0.16,0.395,0.64,1.328,0.31,0.321,0.358,0,0,0,0,0,0,0,0,0,0,0,0.00018,0.002145,0.000107,0,0,0,0,0,0,0,0,0,0,0
"Rice, white, short-grain, raw, unenriched",Cereal Grains and Pasta,,0,0,0,0,0.075,0.233,0.281,0.538,0.235,0.153,0.133,0.348,0.217,0.397,0.542,0.153,0.377,0.611,1.268,0.296,0.306,0.342,0,0,0,0,0,0,0,0,0,0,0,7.00E-05,0.0016,0.000171,0,0,0,0,0,0,0,0,0,0,0
"Rice, white, medium-grain, raw, unenriched",Cereal Grains and Pasta,,0,0,0,0,0.077,0.236,0.285,0.546,0.239,0.155,0.135,0.353,0.221,0.403,0.551,0.155,0.383,0.621,1.288,0.301,0.311,0.347,0,0,0,0,0,0,0,0,0,0,0,7.00E-05,0.0016,0.000145,0,0,0,0,0,0,0,0,0,0,0
"Rice, white, long-grain, parboiled, unenriched, dry",Cereal Grains and Pasta,,0,0.21,0.11,0.02,0.103,0.271,0.339,0.656,0.215,0.183,0.153,0.398,0.216,0.47,0.651,0.185,0.433,0.795,1.395,0.358,0.484,0.366,0,0,0,0,0,0,0,3.00E-05,0,5.00E-05,0,0.000224,0.005048,0.000452,0,0,0,0,0,0,0,0,0,0,0
"Rice, white, long-grain, regular, raw, unenriched",Cereal Grains and Pasta,,0,0,0,0,0.083,0.255,0.308,0.589,0.258,0.168,0.146,0.381,0.238,0.435,0.594,0.168,0.413,0.67,1.389,0.325,0.335,0.375,0,0,0,0,0,0,0,0.00011,0,0,0,7.00E-05,0.0016,0.000164,0.0058,0,0,0,0,0,0,0,0,0,0
"Millet, raw",Cereal Grains and Pasta,,0,0,0,0,0.119,0.353,0.465,1.4,0.212,0.221,0.212,0.58,0.34,0.578,0.382,0.236,0.986,0.726,2.396,0.287,0.877,0.644,0,0,0,0,0,0,0,5.00E-05,0,0,0,0.000421,0.00472,0.000384,0,0,0,0,0,0,0,0,0,0,0
"Oat bran, raw",Cereal Grains and Pasta,,0,0,0,0,0.335,0.502,0.668,1.374,0.76,0.335,0.576,0.908,0.668,0.964,1.279,0.41,0.872,1.576,3.748,0.947,0.982,0.89,0,0,0,0,0,0,0,0.00101,0.0001,0.00221,0,0.00117,0.000934,0.000165,0.0322,0.0196,0,0,0,0,0,0,0,0,0
"Wild rice, raw",Cereal Grains and Pasta,,0,0.67,0,0,0.179,0.469,0.618,1.018,0.629,0.438,0.174,0.721,0.622,0.858,1.136,0.384,0.825,1.419,2.565,0.672,0.519,0.778,0,0,0,0,0,0,0,0.00082,0,0,0,0.000115,0.006733,0.000391,0.035,0,0,0,0,0,0,0,0,0,0
"Rice, brown, long-grain, raw",Cereal Grains and Pasta,,0,0.66,0,0,0.101,0.291,0.336,0.657,0.303,0.179,0.096,0.41,0.298,0.466,0.602,0.202,0.463,0.743,1.618,0.391,0.372,0.411,0,0,0,0.002,0,0.967,0.032,0.0006,0,0.00044,0.00134,0.000541,0.006494,0.000477,0.0215,0,0,0,3.00E-05,3.50E-05,0,0,0,0,0
"Rice, brown, medium-grain, raw",Cereal Grains and Pasta,,0,0,0,0,0.096,0.275,0.318,0.62,0.286,0.169,0.091,0.387,0.281,0.44,0.569,0.19,0.437,0.702,1.528,0.369,0.352,0.388,0,0,0,0,0,0,0,0,0,0,0,0.000413,0.004308,0.000509,0,0,0,0,0,0,0,0,0,0,0
"Amaranth grain, uncooked",Cereal Grains and Pasta,,0,1.4,0.27,0.01,0.181,0.558,0.582,0.879,0.747,0.226,0.191,0.542,0.329,0.679,1.06,0.389,0.799,1.261,2.259,1.636,0.698,1.148,0,0,0,0,0,0,0.042,0.00119,0.00069,0,0.00029,0.000116,0.000923,0.000591,0.0698,0.0676,0,0,0,0,0,0,0,0,0
"Corn grain, yellow",Cereal Grains and Pasta,,0,0,0,0,0.067,0.354,0.337,1.155,0.265,0.197,0.17,0.463,0.383,0.477,0.47,0.287,0.705,0.655,1.768,0.386,0.822,0.447,0,0,0,0,0,0,0,0.00049,0,0,0,0.000385,0.003627,0.000622,0,0,0,0,0,0,0,0,0,0,0
"Corn bran, crude",Cereal Grains and Pasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,1.00E-05,0.002735,0.000152,0.0181,0.0046,0,0,0,0,0,0,0,0,0
"Quinoa, uncooked",Cereal Grains and Pasta,,1.00E-06,0,0,0,0.167,0.421,0.504,0.84,0.766,0.309,0.203,0.593,0.267,0.594,1.091,0.407,0.588,1.134,1.865,0.694,0.773,0.567,0,0,0,0,0,0,0,0.00244,0.00035,0,0,0.00036,0.00152,0.000487,0.0702,0.6304,0,0,0,0,0,0,0,0,0
"Rice bran, crude",Cereal Grains and Pasta,,0,0.5,0.2,0.2,0.108,0.555,0.568,1.022,0.65,0.306,0.317,0.635,0.411,0.881,1.058,0.355,0.97,1.308,1.854,0.875,0.668,0.662,0,0,0,0,0,0,0,0.00492,0,0,0,0.002753,0.033995,0.00407,0.0322,0,0,0,0,0,0,0,0,0,0
Rye grain,Cereal Grains and Pasta,,0,0.71,0.16,0.11,0.108,0.289,0.208,0.563,0.286,0.153,0,0.435,0.2,0.317,0.454,0.189,0.405,0.56,2.294,0.416,0.804,0.458,0,0,0,0,0,0,0,0.00085,0,0,0,0.000316,0.00427,0.000294,0.0304,0.1461,0,0,0,0,0,0,0,0,0
"Tapioca, pearl, dry",Cereal Grains and Pasta,,0,0,0,0,0.003,0.004,0.004,0.006,0.006,0.002,0.004,0.004,0.002,0.005,0.019,0.003,0.005,0.011,0.029,0.004,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,4.00E-06,0,8.00E-06,0.0012,0,0,0,0,0,0,0,0,0,0
"Wheat, hard red spring",Cereal Grains and Pasta,,0,0,0,0,0.195,0.433,0.541,1.038,0.404,0.23,0.404,0.724,0.441,0.679,0.702,0.33,0.555,0.808,4.946,0.621,1.68,0.663,0,0,0,0,0,0,0,0.00101,0,0,0,0.000504,0.00571,0.000336,0.0312,0,0,0,0,0,0,0,0,0,0
"Wheat, hard red winter",Cereal Grains and Pasta,,0,0,0,0,0.16,0.365,0.458,0.854,0.335,0.201,0.322,0.592,0.387,0.556,0.595,0.285,0.45,0.64,3.998,0.528,1.289,0.586,0,0,0,0.015,0,0,0,0.00101,0,0,0,0.000383,0.005464,0.0003,0.0312,0,0,0,0,0,0,0,0,0,0
"Wheat, hard white",Cereal Grains and Pasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0,0,0,0.000387,0.004381,0.000368,0,0,0,0,0,0,0,0,0,0,0
"Wheat, soft white",Cereal Grains and Pasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0,0,0,0.00041,0.004766,0.000378,0,0,0,0,0,0,0,0,0,0,0
"Wheat bran, crude",Cereal Grains and Pasta,,0,0,0,0,0.282,0.5,0.486,0.928,0.6,0.234,0.371,0.595,0.436,0.726,1.087,0.43,0.765,1.13,2.874,0.898,0.882,0.684,0,0,0,0,0,0,0,0.00149,0,0,0,0.000523,0.013578,0.001303,0.0744,0,0,0,0,0,0,0,0,0,0
"Wheat, KAMUT khorasan, uncooked",Cereal Grains and Pasta,,1.00E-06,0.55,0.62,0.11,0.13,0.442,0.566,1.112,0.416,0.251,0.309,0.772,0.352,0.687,0.696,0.379,0.543,0.802,4.839,0.579,1.594,0.759,0,0,0,0,0,0,0.048,0.00061,1.00E-05,0.00031,2.00E-05,0.000566,0.006375,0.000259,0.0258,0.113,0,0,0,0,0,0,0,0,0
"Spelt, uncooked",Cereal Grains and Pasta,,0,0.59,0.84,0.24,0.132,0.443,0.552,1.07,0.409,0.258,0.33,0.737,0.377,0.681,0.687,0.36,0.534,0.757,4.651,0.602,1.625,0.725,0,0,0,0,0,0,0.065,0.00079,0,0.00035,0,0.000364,0.006843,0.00023,0,0,0,0,0,0,0,0,0,0,0
